CustomerID,Gender,Age,Annual Income ,Spending Score 
149,Female,34,78.0,22.0
150,Male,34,78.0,90.0
151,Male,43,78.0,17.0
152,Male,39,78.0,88.0
153,Female,44,78.0,20.0
154,Female,38,78.0,76.0
155,Female,47,78.0,16.0
156,Female,27,78.0,89.0
157,Male,37,78.0,1.0
158,Female,30,78.0,78.0
159,Male,34,78.0,1.0
160,Female,30,78.0,73.0
161,Female,56,79.0,35.0
162,Female,29,79.0,83.0
163,Male,19,81.0,5.0
164,Female,31,81.0,93.0
165,Male,50,85.0,26.0
166,Female,36,85.0,75.0
167,Male,42,86.0,20.0
168,Female,33,86.0,95.0
169,Female,36,87.0,27.0
170,Male,32,87.0,63.0
171,Male,40,87.0,13.0
172,Male,28,87.0,75.0
173,Male,36,87.0,10.0
174,Male,36,87.0,92.0
175,Female,52,88.0,13.0
176,Female,30,88.0,86.0
177,Male,58,88.0,15.0
178,Male,27,88.0,69.0
179,Male,59,93.0,14.0
180,Male,35,93.0,90.0
181,Female,37,97.0,32.0
182,Female,32,97.0,86.0
183,Male,46,98.0,15.0
184,Female,29,98.0,88.0
185,Female,41,99.0,39.0
186,Male,30,99.0,97.0
187,Female,54,101.0,24.0
188,Male,28,101.0,68.0
189,Female,41,103.0,17.0
190,Female,36,103.0,85.0
191,Female,34,103.0,23.0
192,Female,32,103.0,69.0
193,Male,33,113.0,8.0
194,Female,38,113.0,91.0
195,Female,47,120.0,16.0
196,Female,35,120.0,79.0
197,Female,45,126.0,28.0
198,Male,32,126.0,74.0
199,Male,32,137.0,18.0
200,Male,30,137.0,83.0
